seqid,start,end,strand,locus_tag,gene_id,gene_name,product,pathway
CP027540.1,150808,150888,-,SPV_2573,shp144,XFU36293.1,Signal peptide in Rgg144/SHP144 quorum-sensing system,peptide_signaling
CP027540.1,151109,151342,+,SPV_0145,vp1,AVN85321.1,Virulence peptide with glycine-glycine motif,peptide_signaling
CP027540.1,152053,152718,+,SPV_0147,vpoB,AVN85323.1,(Putative) Abi family transmembrane protease,peptide_signaling
CP027540.1,152790,154016,+,SPV_0148,vpoC,AVN85324.1,(Putative) Major facilitator superfamily 1 type transporter,peptide_signaling
CP027540.1,154226,154822,+,SPV_0149,vpoD,AVN85325.1,(Putative) Branched chain amino acid transporter,peptide_signaling
CP027540.1,183688,184086,+,SPV_0178,spxA2,AVN85353.1,Transcriptional regulator SpxA2,C_pyruvate
CP027540.1,188186,189718,+,SPV_0185,cls,AVN85360.1,Cardiolipin synthetase,CRISPRi_hits
CP027540.1,208281,208499,+,SPV_0215,infA,AVN85391.1,Translation initiation factor 1,CRISPRi_hits
CP027540.1,212923,213615,+,SPV_0222,gpmB1,AVN85398.1,Phosphoglycerate mutase family protein,C_glycolisis
CP027540.1,218966,219712,+,SPV_0230,deoR,AVN85402.1,Transcriptional regulator%2C DeoR family,CRISPRi_hits
CP027540.1,220900,221220,+,SPV_0232,cds-AVN85404.1,AVN85404.1,Cellobiose-specific PTS IIA component,Transporters
CP027540.1,221266,221574,+,SPV_0233,cds-AVN85405.1,AVN85405.1,Cellobiose-specific PTS IIB component,Transporters
CP027540.1,221591,222889,+,SPV_0234,cds-AVN85406.1,AVN85406.1,Cellobiose-specific PTS IIC component,Transporters
CP027540.1,234367,235125,+,SPV_0243,uppS,AVN85416.1,Undecaprenyl diphosphate synthase,CRISPRi_hits
CP027540.1,239184,240563,+,SPV_0247,bglA,AVN85420.1,6-phospho-beta-glucosidase,C_dietary_glicans
CP027540.1,240755,242563,+,SPV_0248,glmS,AVN85421.1,Glucosamine--fructose-6-phosphate aminotransferase,C_peptidoglycan
CP027540.1,249346,251427,+,SPV_0253,fusA,AVN85426.1,Translation elongation factor G,C_dietary_glicans
CP027540.1,260876,261787,-,SPV_0262,manN,AVN85435.1,Mannose-specific PTS IID component,Transporters
CP027540.1,261811,262614,-,SPV_0263,manM,AVN85436.1,Mannose-specific PTS IIC component,Transporters
CP027540.1,262642,263631,-,SPV_0264,manL,AVN85437.1,Mannose-specific PTS IIAB components,Transporters
CP027540.1,263864,264883,-,SPV_0265,adhA,AVN85438.1,Alcohol dehydrogenase,C_pyruvate
CP027540.1,275005,276441,+,SPV_0277,celA,AVN85451.1,6-phospho-beta-glucosidase,C_dietary_glicans
CP027540.1,276862,277176,+,SPV_0279,celB,AVN85453.1,Cellobiose-specific PTS IIB component,Transporters
CP027540.1,277300,279273,+,SPV_0280,celR,AVN85454.1,Transcriptional antiterminator of lichenan operon%2C BglG family,C_dietary_glicans
CP027540.1,279283,279597,+,SPV_0281,celC,AVN85455.1,Cellobiose-specific PTS IIA component,Transporters
CP027540.1,280202,281548,+,SPV_0283,celD,AVN85457.1,Cellobiose-specific PTS IIC component,Transporters
CP027540.1,293406,293840,+,SPV_0293,cds-AVN85466.1,AVN85466.1,Hyaluronate-oligosaccharide-specific PTS IIA component,Transporters
CP027540.1,295053,295544,+,SPV_0295,cds-AVN85468.1,AVN85468.1,Hyaluronate-oligosaccharide-specific PTS IIB component,Transporters
CP027540.1,295559,296338,+,SPV_0296,cds-AVN85469.1,AVN85469.1,Hyaluronate-oligosaccharide-specific PTS IIC component,Transporters
CP027540.1,296325,297143,+,SPV_0297,cds-AVN85470.1,AVN85470.1,Hyaluronate-oligosaccharide-specific PTS IID component,Transporters
CP027540.1,297143,297436,+,SPV_0298,yajC-1,AVN85471.1,Preprotein translocase subunit YajC,CRISPRi_hits
CP027540.1,299419,300420,+,SPV_0301,regR,AVN85473.1,Transcriptional regulator RegR,Leloir_Tagatose
CP027540.1,302446,302763,+,SPV_0305,ftsL,AVN85478.1,Cell division protein FtsL,heat_shock
CP027540.1,302767,305019,+,SPV_0306,pbp2x,AVN85479.1,Penicillin-binding protein 2X,CRISPRi_hits
CP027540.1,306558,308663,+,SPV_0308,clpL,AVN85481.1,Putative ATP-dependent Clp proteinase ATP-binding subunit ClpL,heat_shock
CP027540.1,311173,312780,+,SPV_0311,dexB,AVN85484.1,Glucan 1%2C6-alpha-glucosidase,CRISPRi_hits
CP027540.1,314201,315646,+,SPV_0315,cps2A,AVN85486.1,Exopolysaccharide biosynthesis transcriptional regulator Cps2A,C_capsule
CP027540.1,315648,316379,+,SPV_0316,cps2B,AVN85487.1,Tyrosine-protein phosphatase Cps2B,C_capsule
CP027540.1,316388,317080,+,SPV_0317,cps2C,AVN85488.1,Capsular biosynthesis protein Cps2C,C_capsule
CP027540.1,317090,317770,+,SPV_0318,cps2D,AVN85489.1,Tyrosine-protein kinase Cps2D,C_capsule
CP027540.1,317785,319152,+,SPV_0319,cps2E,AVN85490.1,Undecaprenyl-phosphate galactosephosphotransferase Cps2E,C_capsule
CP027540.1,319184,320368,+,SPV_0320,cps2T,AVN85491.1,Alpha-D-GlcNAc alpha-1%2C2-L-rhamnosyltransferase Cps2T,C_capsule
CP027540.1,320361,321305,+,SPV_0321,cps2F,AVN85492.1,Alpha-L-Rha alpha-1%2C3-L-rhamnosyltransferase Cps2F,C_capsule
CP027540.1,321321,322367,+,SPV_0322,cps2G,AVN85493.1,Glycosyltransferase Cps2G,C_capsule
CP027540.1,322408,323571,+,SPV_0323,cps2H,AVN85494.1,Capsular synthesis protein Cps2H,C_capsule
CP027540.1,323701,324858,+,SPV_0324,cps2I,AVN85495.1,Putative glycosyltransferase Cps2I,C_capsule
CP027540.1,324855,326264,+,SPV_0325,cps2J,AVN85496.1,Polysaccharide biosynthesis protein Cps2J,C_capsule
CP027540.1,326300,327538,+,SPV_0326,cps2K,AVN85497.1,UDP-glucose 6-dehydrogenase Cps2K,C_capsule
CP027540.1,327567,328172,+,SPV_0327,cps2P,AVN85498.1,UDP-galactopyranose mutase Cps2P,C_capsule
CP027540.1,328250,329119,+,SPV_0328,cps2L,AVN85499.1,Glucose-1-phosphate thymidylyltransferase Cps2L,C_capsule
CP027540.1,329120,329713,+,SPV_0329,cps2M,AVN85500.1,dTDP-4-dehydrorhamnose 3%2C5-epimerase Cps2M,C_capsule
CP027540.1,329726,330775,+,SPV_0330,cps2N,AVN85501.1,dTDP-glucose 4%2C6-dehydratase Cps2N,C_capsule
CP027540.1,330841,331692,+,SPV_0331,cps2O,AVN85502.1,dTDP-4-dehydrorhamnose reductase Cps2O,C_capsule
CP027540.1,333097,335079,+,SPV_0334,aliA,AVN85503.1,Oligopeptide ABC transporter%2C periplasmic oligopeptide-binding protein AliA,CRISPRi_hits
CP027540.1,340849,343008,-,SPV_0336,pbp1a,AVN85505.1,Multimodular transpeptidase-transglycosylase%2C penicillin-binding protein 1A,CRISPRi_hits
CP027540.1,361746,363515,+,SPV_0360,mtlA,AVN85523.1,Mannitol-specific PTS IIBC components,Transporters
CP027540.1,365496,365933,+,SPV_0362,mtlA2,AVN85525.1,Mannitol-specific PTS IIA component,Transporters
CP027540.1,383747,384532,+,SPV_0378,fabM,AVN85541.1,Trans-2%2Ccis-3-Decenoyl-ACP isomerase,CRISPRi_hits
CP027540.1,384626,385060,+,SPV_0379,fabT,AVN85542.1,Transcriptional regulator of fatty acid biosynthesis FabT,CRISPRi_hits
CP027540.1,385060,386034,+,SPV_0380,fabH,AVN85543.1,3-oxoacyl-(acyl-carrier-protein) synthase FabH,CRISPRi_hits
CP027540.1,386094,386318,+,SPV_0381,acpP,AVN85544.1,Acyl carrier protein,CRISPRi_hits
CP027540.1,386437,387411,+,SPV_0382,fabK,AVN85545.1,Enoyl-(acyl-carrier-protein) reductase FabK,CRISPRi_hits
CP027540.1,387404,388324,+,SPV_0383,fabD,AVN85546.1,Malonyl CoA-acyl carrier protein transacylase FabD,CRISPRi_hits
CP027540.1,388358,389089,+,SPV_0384,fabG1,AVN85547.1,3-oxoacyl-[acyl-carrier protein] reductase FabG1,CRISPRi_hits
CP027540.1,389111,390346,+,SPV_0385,fabF,AVN85548.1,3-oxoacyl-(acyl-carrier-protein) synthase FabF,CRISPRi_hits
CP027540.1,390831,391253,+,SPV_0387,fabZ,AVN85550.1,3-hydroxyacyl-(acyl-carrier-protein) dehydratase FabZ,CRISPRi_hits
CP027540.1,395410,395832,-,SPV_0393,nusB,AVN85556.1,Transcription termination protein NusB,CRISPRi_hits
CP027540.1,396925,398367,-,SPV_0396,gatB,AVN85559.1,Bifunctional aspartyl-tRNA(Asp) amidotransferase subunit B/glutamyl-tRNA(Glu) amidotransferase subunit B,C_amino_sugar_Nglycans
CP027540.1,398367,399833,-,SPV_0397,gatA,AVN85560.1,Bifunctional aspartyl-tRNA(Asp) amidotransferase subunit A/glutamyl-tRNA(Glu) amidotransferase subunit A,C_amino_sugar_Nglycans
CP027540.1,399833,400135,-,SPV_0398,gatC,AVN85561.1,Bifunctional aspartyl-tRNA(Asp) amidotransferase subunit C/glutamyl-tRNA(Glu) amidotransferase subunit C,C_amino_sugar_Nglycans
CP027540.1,400348,401892,+,SPV_0399,prfC,AVN85562.1,Peptide chain release factor 3,CRISPRi_hits
CP027540.1,417652,418497,+,SPV_0417,uppP,AVN85577.1,Undecaprenyl-diphosphatase,CRISPRi_hits
CP027540.1,420100,422424,+,SPV_0420,pfl,AVN85581.1,Pyruvate formate-lyase,C_pyruvate
CP027540.1,426446,427768,+,SPV_0424,cds-AVN85585.1,AVN85585.1,Cellobiose-specific PTS IIC component,Transporters
CP027540.1,429824,430168,+,SPV_0426,lacF-1,AVN85587.1,Lactose-specific PTS IIA component,Leloir_Tagatose
CP027540.1,430178,431590,+,SPV_0427,lacG-1,AVN85588.1,6-phospho-beta-galactosidase,Leloir_Tagatose
CP027540.1,431659,433338,+,SPV_0428,lacE-1,AVN85589.1,Lactose-specific PTS IIBC components,Leloir_Tagatose
CP027540.1,445010,446617,+,SPV_0442,pyrG,AVN85603.1,CTP synthase,CRISPRi_hits
CP027540.1,449100,454079,+,SPV_0444,endoD,AVN85605.1,Endo-beta-N-acetylglucosaminidase EndoD,C_amino_sugar_Nglycans
CP027540.1,454169,455365,+,SPV_0445,pgk,AVN85606.1,Phosphoglycerate kinase,C_glycolisis
CP027540.1,467980,469014,+,SPV_0458,hrcA,AVN85620.1,Heat-inducible transcription repressor HrcA,heat_shock
CP027540.1,469041,469565,+,SPV_0459,grpE,AVN85621.1,Heat shock protein GrpE,CRISPRi_hits
CP027540.1,470045,471868,+,SPV_0460,dnaK,AVN85622.1,Chaperone protein DnaK,CRISPRi_hits
CP027540.1,472628,473746,+,SPV_0461,dnaJ,AVN85624.1,Chaperone protein DnaJ,CRISPRi_hits
CP027540.1,486856,487491,+,SPV_0477,trmB,AVN85639.1,tRNA (guanine46-N7-)-methyltransferase,CRISPRi_hits
CP027540.1,487617,488096,+,SPV_0478,rimP,AVN85640.1,Bacterial ribosome SSU maturation protein RimP,CRISPRi_hits
CP027540.1,488140,489276,+,SPV_0479,nusA,AVN85641.1,Transcription termination/antitermination protein NusA,CRISPRi_hits
CP027540.1,489900,492692,+,SPV_0482,infB,AVN85644.1,Translation initiation factor 2,CRISPRi_hits
CP027540.1,492943,493293,+,SPV_0483,rbfA,AVN85645.1,Ribosome-binding factor A,CRISPRi_hits
CP027540.1,508859,509698,+,SPV_0501,bglG,AVN85660.1,Beta-glucoside bgl operon antiterminator BglG,C_dietary_glicans
CP027540.1,509716,511554,+,SPV_0502,bglF,AVN85661.1,Beta-glucoside-specific PTS IIBCA components,Transporters
CP027540.1,511567,512982,+,SPV_0503,bglA-2,AVN85662.1,6-phospho-beta-glucosidase,C_dietary_glicans
CP027540.1,513574,514620,+,SPV_0504,pheS,AVN85663.1,Phenylalanyl-tRNA synthetase alpha chain,C_shikimate
CP027540.1,515206,517608,+,SPV_0506,pheT,AVN85665.1,Phenylalanyl-tRNA synthetase beta chain,C_shikimate
CP027540.1,537439,538320,+,SPV_0526,fba,AVN85681.1,Class II fructose-bisphosphate aldolase,C_glycolisis
CP027540.1,548306,549526,+,SPV_0535,murM,AVN85689.1,tRNA-dependent lipid II--L-alanine/serine ligase MurM,C_peptidoglycan
CP027540.1,549531,550763,+,SPV_0536,murN,AVN85690.1,tRNA-dependent lipid II-Ala--L-alanine ligase MurN,C_peptidoglycan
CP027540.1,570405,576839,+,SPV_0558,prtA,AVN85711.1,Serine protease PrtA precursor,CRISPRi_hits
CP027540.1,577464,577940,+,SPV_0559,cds-AVN85712.1,AVN85712.1,Galactose-specific PTS IIA component,Leloir_Tagatose
CP027540.1,577978,578283,+,SPV_0560,cds-AVN85713.1,AVN85713.1,Galactose-specific PTS IIB component,Leloir_Tagatose
CP027540.1,578331,579806,+,SPV_0561,cds-AVN85714.1,AVN85714.1,Galactose-specific PTS IIC component,Leloir_Tagatose
CP027540.1,580111,586797,+,SPV_0562,bgaA,AVN85715.1,Beta-galactosidase BgaA,C_amino_sugar_Nglycans
CP027540.1,590318,592372,+,SPV_0569,nha2,AVN85719.1,Na+/H+ antiporter,CRISPRi_hits
CP027540.1,608139,609098,+,SPV_0580,gki,AVN85731.1,Glucokinase,C_glycolisis
CP027540.1,623359,624711,+,SPV_0598,murD,AVN85749.1,UDP-N-acetylmuramoylalanine--D-glutamate ligase,C_peptidoglycan
CP027540.1,624715,625773,+,SPV_0599,murG,AVN85750.1,UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase,C_peptidoglycan
CP027540.1,632401,633102,+,SPV_0608,pyrF,AVN85756.1,Orotidine 5'-phosphate decarboxylase,CRISPRi_hits
CP027540.1,633136,633768,+,SPV_0609,pyrE,AVN85757.1,Orotate phosphoribosyltransferase,CRISPRi_hits
CP027540.1,642953,644089,+,SPV_0621,lctO,AVN85768.1,L-Lactate 2-monooxygenase,C_pyruvate
CP027540.1,654983,657226,+,SPV_0635,ctpA,AVN85783.1,Lead%2C cadmium%2C copper%2C zinc and mercury transporting P-type ATPase,CRISPRi_hits
CP027540.1,657433,659208,+,SPV_0636,spxB,AVN85784.1,Pyruvate oxidase,C_pyruvate
CP027540.1,668065,668532,+,SPV_0648,comEB,AVN85792.1,dCMP deaminase,natural_competence
CP027540.1,668600,669250,+,SPV_0649,upp,AVN85793.1,Uracil phosphoribosyltransferase,CRISPRi_hits
CP027540.1,669424,670014,+,SPV_0650,clpP,AVN85794.1,ATP-dependent Clp protease proteolytic subunit ClpP,CRISPRi_hits
CP027540.1,676458,677447,+,SPV_0658,prfB,AVN85802.1,Peptide chain release factor 2,CRISPRi_hits
CP027540.1,677465,678157,+,SPV_0659,ftsE,AVN85803.1,Cell division transporter%2C ATP-binding protein FtsE,heat_shock
CP027540.1,678150,679076,+,SPV_0660,ftsX,AVN85804.1,Cell division protein FtsX,heat_shock
CP027540.1,679362,681542,+,SPV_0661,malT,AVN85805.1,Maltose- and glucose-specific PTS IICBA components,Transporters
CP027540.1,685850,686785,+,SPV_0665,pyrDa,AVN85809.1,Dihydroorotate dehydrogenase (fumarate),CRISPRi_hits
CP027540.1,686819,687856,+,SPV_0666,holA,AVN85810.1,DNA polymerase III delta subunit,CRISPRi_hits
CP027540.1,696397,696915,+,SPV_0678,rimM,AVN85820.1,16S rRNA processing protein RimM,CRISPRi_hits
CP027540.1,696905,697624,+,SPV_0679,trmD,AVN85821.1,tRNA (guanine(37)-N(1))-methyltransferase,CRISPRi_hits
CP027540.1,709252,709950,+,SPV_0695,fabG2,AVN85837.1,3-Ketoacyl-ACP reductase,CRISPRi_hits
CP027540.1,721355,722578,+,SPV_0706,rodA,AVN85848.1,Cell shape-determining protein RodA,CRISPRi_hits
CP027540.1,731934,734192,-,SPV_0717,clpE,AVN85855.1,ATP-dependent Clp protease ATP-binding subunit ClpE,heat_shock
CP027540.1,739262,740473,+,SPV_0724,deoB,AVN85862.1,Phosphopentomutase,CRISPRi_hits
CP027540.1,744493,745203,+,SPV_0730,deoD,AVN85865.1,Purine nucleoside phosphorylase,CRISPRi_hits
CP027540.1,749754,750416,+,SPV_0737,deoC,AVN85873.1,Deoxyribose-phosphate aldolase,CRISPRi_hits
CP027540.1,750403,750792,+,SPV_0738,cdd-1,AVN85874.1,Cytidine deaminase,CRISPRi_hits
CP027540.1,771080,772735,+,SPV_0760,dnaX,AVN85892.1,DNA polymerase III subunits gamma and tau,heat_shock
CP027540.1,778496,779737,-,SPV_0767,pbp3,AVN85899.1,D-alanyl-D-alanine carboxypeptidase%2C penicillin-binding protein 3,CRISPRi_hits
CP027540.1,784019,785971,+,SPV_0773,fruA,AVN85903.1,Fructose-specific PTS IIABC components,Transporters
CP027540.1,786057,788360,+,SPV_0774,ftsK,AVN85904.1,DNA translocase FtsK,heat_shock
CP027540.1,800875,801345,-,SPV_0786,argR2,AVN85915.1,Arginine pathway regulatory protein ArgR2,C_arginine
CP027540.1,803981,807082,+,SPV_0788,dnaE,AVN85917.1,DNA polymerase III alpha subunit,CRISPRi_hits
CP027540.1,807165,808172,+,SPV_0789,pfkA,AVN85918.1,6-phosphofructokinase,C_glycolisis
CP027540.1,808231,809736,+,SPV_0790,pyk,AVN85919.1,Pyruvate kinase,C_glycolisis
CP027540.1,844886,845776,+,SPV_0826,holB,AVN85955.1,DNA polymerase III delta prime subunit,CRISPRi_hits
CP027540.1,845816,846133,+,SPV_0827,yabA,AVN85956.1,DNA replication initiation control protein YabA,CRISPRi_hits
CP027540.1,849793,851127,+,SPV_0833,trmFO,AVN85960.1,Methylenetetrahydrofolate--tRNA-(uracil-5-)-methyltransferase TrmFO,CRISPRi_hits
CP027540.1,851211,851948,+,SPV_0834,pyrH,AVN85961.1,Uridine monophosphate kinase,CRISPRi_hits
CP027540.1,857954,858604,+,SPV_0843,comEA,AVN85968.1,Late competence DNA receptor ComEA,natural_competence
CP027540.1,858588,860828,+,SPV_0844,comEC,AVN85969.1,Late competence DNA transporter ComEC,natural_competence
CP027540.1,863279,863836,+,SPV_0847,infC,AVN85972.1,Translation initiation factor 3,CRISPRi_hits
CP027540.1,865168,865968,+,SPV_0851,pyrK,AVN85976.1,Dihydroorotate dehydrogenase (NAD(+))%2C electron transfer subunit,CRISPRi_hits
CP027540.1,865979,866917,+,SPV_0852,pyrDb,AVN85977.1,Dihydroorotate dehydrogenase (NAD(+))%2C catalytic subunit,CRISPRi_hits
CP027540.1,885372,885992,-,SPV_0870,gpmB2,AVN85995.1,Phosphoglycerate mutase family 5 protein,C_glycolisis
CP027540.1,888355,889734,+,SPV_0874,glmU,AVN85999.1,Bifunctional N-acetylglucosamine-1-phosphate uridyltransferase/glucosamine-1-phosphate N-acetyltransferase,C_peptidoglycan
CP027540.1,891990,892580,+,SPV_0879,dnaQ,AVN86004.1,DNA polymerase III epsilon subunit,heat_shock
CP027540.1,906760,908028,+,SPV_1030,pyrC,AVN86017.1,Dihydroorotase,CRISPRi_hits
CP027540.1,937462,938766,-,SPV_1012,eno,AVN86034.1,Enolase,C_glycolisis
CP027540.1,947285,948709,-,SPV_1004,gapN,AVN86041.1,Glyceraldehyde-3-phosphate dehydrogenase (NADP(+)),Leloir_Tagatose
CP027540.1,982033,983292,-,SPV_0967,murA-1,AVN86076.1,UDP-N-acetylglucosamine 1-carboxyvinyltransferase,C_peptidoglycan
CP027540.1,991810,993570,-,SPV_0957,dnaG,AVN86085.1,DNA primase,heat_shock
CP027540.1,999483,1000712,-,SPV_0952,ftsW,AVN86090.1,Cell division protein FtsW,heat_shock
CP027540.1,1015296,1015367,-,SPV_2282,shp939,AVN86102.1,Signal peptide in Rgg939/SHP939 quorum-sensing system,peptide_signaling
CP027540.1,1015448,1016302,+,SPV_0939,mutR2,AVN86103.1,Rgg family transcriptional regulator in Rgg939/SHP939 quorum-sensing system,peptide_signaling
CP027540.1,1045724,1046803,-,SPV_0906,prfA,AVN86132.1,Peptide chain release factor 1,CRISPRi_hits
CP027540.1,1048004,1048186,+,SPV_0903,xylH,AVN86135.1,Bifunctional 4-oxalocrotonate tautomerase/xylose transport system permease protein XylH,Transporters
CP027540.1,1052957,1053388,+,SPV_0897,mesH,AVN86140.1,GtrA family protein,CRISPRi_hits
CP027540.1,1067625,1069358,-,SPV_1039,ptsI,AVN86148.2,Phosphoenolpyruvate-protein phosphotransferase of PTS,Transporters
CP027540.1,1073768,1074529,+,SPV_1044,lacR,AVN86153.1,Lactose phosphotransferase system repressor,Leloir_Tagatose
CP027540.1,1075027,1076433,-,SPV_1046,lacG-2,AVN86154.1,6-phospho-beta-galactosidase,Leloir_Tagatose
CP027540.1,1076642,1078333,-,SPV_1047,lacE-2,AVN86155.1,Lactose-specific PTS IIBC components,Leloir_Tagatose
CP027540.1,1078333,1078650,-,SPV_1048,lacF-2,AVN86156.1,Lactose-specific PTS IIA component,Leloir_Tagatose
CP027540.1,1078686,1079522,-,SPV_1049,lacT,AVN86157.1,Beta-glucoside bgl operon antiterminator LacT%2C BglG family,Leloir_Tagatose
CP027540.1,1080737,1081666,-,SPV_1051,lacC,AVN86158.1,Tagatose-6-phosphate kinase LacC,Leloir_Tagatose
CP027540.1,1081677,1082192,-,SPV_1052,lacB,AVN86159.1,Galactose-6-phosphate isomerase%2C LacB subunit,Leloir_Tagatose
CP027540.1,1082223,1082648,-,SPV_1053,lacA,AVN86160.1,Galactose-6-phosphate isomerase%2C LacA subunit,Leloir_Tagatose
CP027540.1,1084129,1084431,-,SPV_1057,cds-AVN86162.1,AVN86162.1,Galactose-specific PTS IIB component,Leloir_Tagatose
CP027540.1,1089664,1090095,-,SPV_1063,ahrC,AVN86167.1,Arginine pathway regulatory protein AhrC,C_arginine
CP027540.1,1093426,1094064,-,SPV_1068,udk,AVN86172.1,Uridine kinase,CRISPRi_hits
CP027540.1,1102709,1103452,-,SPV_1076,srtA,AVN86179.1,Sortase SrtA%2C LPXTG specific,CRISPRi_hits
CP027540.1,1106114,1107100,+,SPV_1078,ldh,AVN86181.1,L-lactate dehydrogenase,C_pyruvate
CP027540.1,1132234,1133511,-,SPV_1101,ftsY,AVN86204.1,Signal recognition particle receptor FtsY,heat_shock
CP027540.1,1154827,1155516,-,SPV_1123,licC,AVN86225.1,Cholinephosphate cytidylyltransferase LicC,C_phosphorylcholine
CP027540.1,1155528,1156406,-,SPV_1124,licB,AVN86226.1,Choline permease LicB,C_phosphorylcholine
CP027540.1,1156396,1157265,-,SPV_1125,licA,AVN86227.1,Choline kinase LicA,C_phosphorylcholine
CP027540.1,1157282,1158304,-,SPV_1126,tarJ,AVN86228.1,Ribulose-5-phosphate reductase,C_phosphorylcholine
